40.127.1.56	443	Microsoft Corporation	scorpion.biz	Microsoft Corporation	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	Microsoft IIS httpd	10.0	-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;-TLSv1.3			
41.149.73.18	443	Telkom SA Limited	goldfields.com;goldfields.co.za;www.goldfields.co.za;www.goldfields.com	Telkom SA Ltd.	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		TLSv1;-SSLv2;-SSLv3;TLSv1.1;TLSv1.2;-TLSv1.3			
129.151.177.115	9443	Oracle Corporation		Oracle Corporation	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	Portainer	2.39.1				
102.33.148.74	443	Metrofibre Networx		Metrofibre Networx	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	Hikvision IP Camera		-TLSv1;-SSLv2;-SSLv3;TLSv1.1;TLSv1.2;-TLSv1.3			
16.28.124.103	443	Amazon Data Services South Africa	three-sixty-life-uat.originfintech.io;ec2-16-28-124-103.af-south-1.compute.amazonaws.com	Amazon.com, Inc.	{'city': 'Cape Town', 'region_code': 'WC', 'area_code': None, 'longitude': 18.42322, 'latitude': -33.92584, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
105.29.158.55	443	SEACOM Limited		SEACOM Limited	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	Microsoft IIS httpd	10.0	-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;-TLSv1.3			
105.29.158.54	443	SEACOM Limited		SEACOM Limited	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	Microsoft IIS httpd	10.0	-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;-TLSv1.3			
13.245.97.29	443	Amazon Data Services South Africa	ec2-13-245-97-29.af-south-1.compute.amazonaws.com;admin.hiluxworldrecord.co.za	Amazon.com, Inc.	{'city': 'Cape Town', 'region_code': 'WC', 'area_code': None, 'longitude': 18.42322, 'latitude': -33.92584, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
129.151.169.110	9443	Oracle Corporation		Oracle Corporation	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	Portainer	2.33.6				
102.176.230.146	443	Edge connect (pty) Ltd	pperfect.com;102-176-230-146.client.cd.net.za	Webdev CC T/A Cybertek	{'city': 'Durban', 'region_code': 'KZN', 'area_code': None, 'longitude': 31.0292, 'latitude': -29.8579, 'country_code': 'ZA', 'country_name': 'South Africa'}	Apache httpd		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
196.41.65.252	443	Speer Management Services (PTY)LTD	redcap.phru.co.za	Speer Management Services (PTY)LTD	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.0336, 'latitude': -26.1673, 'country_code': 'ZA', 'country_name': 'South Africa'}	Apache httpd		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
102.39.102.49	443	Vox Telecom	102-39-102-49.vox.co.za;www.digitatanetworks.com;digitatanetworks.com	Vox Telecom Ltd	{'city': 'eMbalenhle', 'region_code': 'MP', 'area_code': None, 'longitude': 29.06667, 'latitude': -26.53333, 'country_code': 'ZA', 'country_name': 'South Africa'}	Apache httpd		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
13.246.76.157	443	Amazon Data Services South Africa	highbond.com;ec2-13-246-76-157.af-south-1.compute.amazonaws.com	Amazon.com, Inc.	{'city': 'Cape Town', 'region_code': 'WC', 'area_code': None, 'longitude': 18.42322, 'latitude': -33.92584, 'country_code': 'ZA', 'country_name': 'South Africa'}			-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
154.65.108.235	443	xneelo-cloud	uat.pigeonplex.com	Xneelo (Pty) Ltd	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
84.8.134.235	9443	Oracle Svenska AB		Oracle Corporation	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	Portainer	2.33.7				
41.23.142.26	443	Legal IP block for Vodacom ENS	mail.duferco.co.za;vc-41-23-142-26.umts.vodacom.co.za;autodiscover.duferco.co.za	Vodacom	{'city': 'Cape Town', 'region_code': 'WC', 'area_code': None, 'longitude': 18.42322, 'latitude': -33.92584, 'country_code': 'ZA', 'country_name': 'South Africa'}	Citrix Netscaler		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
102.209.21.144	443	Webhost	ticktockeducare.co.za;www.ticktockeducare.co.za;102-209-21-144.rackzar.net	Rackzar  (Pty) Ltd	{'city': 'Cape Town', 'region_code': 'WC', 'area_code': None, 'longitude': 18.42322, 'latitude': -33.92584, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
102.129.40.31	443	LUCKY CONNECT TECHNOLOGIES (PTY) LTD	billing.luckyconnect.co.za	LUCKY CONNECT TECHNOLOGIES (PTY) LTD	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}			-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;-TLSv1.3			
